BOARD,SUBCATEGOR,TYPE,NAME,ADDRESS,CITY,PROVINCE,POSTAL_COD,GRADES,ECS
Public School,,Elementary,Queensland Downs Elementary,199 Queen Charlotte WY SE,Calgary,AB,T2J4H9,Grades 1-6,Y
Public School,,Junior High,R. T. Alderman Jr High,725 Mapleton DR SE,Calgary,AB,T2J1S1,Grades 5-9,N
Public School,,Elementary,Radisson Park School,2805 Redcliffe DR SE,Calgary,AB,T2A0C8,Grades 1-4,
Public School,,Elementary,Ramsay Elementary,2223 Spiller RD SE,Calgary,AB,T2G4G9,Grades 1-6,Y
Public School,,Elementary,Ranchlands Elementary,610 Ranchlands BV NW,Calgary,AB,T3G2C5,Grades 1-6,Y
Post Secondary,,University,Renert Centre,192 MacEwan Student Centre U of C,Calgary,AB,T2N 1N4,Post Secondary,
Private School,,Elementary,Renfrew Educational Services - Bowness Centre,8604 48 AVE NW,Calgary,AB,,ECS,
Private School,,Elementary,Renfrew Educational Services - Child Development Centre,3820 24 AV NW,Calgary,AB,,ECS,Y
Private School,,Elementary,Renfrew Educational Services - Main School & Admin,2050 21 ST NE,Calgary,AB,T2E6S5,Grades 1-6,Y
Private School,,Elementary,Renfrew Educational Services - Park Place Centre,3688 48 AV NE,Calgary,AB,,ECS,Y
Private School,,Elementary,Renfrew Educational Services - Special Services Centre,8620 48 AV NW,Calgary,AB,,ECS,Y
Private School,,Elementary,Renfrew Educational Services - Sundance Centre,75 Sunpark DR SE,Calgary,AB,,ECS,
Public School,,Elementary,Richmond Elementary,2701 22 ST SW,Calgary,AB,T2T5G5,Grades 1-6,Y
Public School,,"Elementary, Junior High",Rideau Park Elementary & Jr High,829 Rideau RD SW,Calgary,AB,T2S0S2,Grades 1-9,Y
Private School,,Elementary,River Valley School,3127 Bowwood DR NW,Calgary,AB,T3B2E7,Grades 1-6,
Public School,,Elementary,Riverbend Elementary,65 Rivervalley DR SE,Calgary,AB,T2C3Z7,Grades 1-6,Y
Public School,,Junior High,Robert Warren Jr High,12424 Elbow DR SW,Calgary,AB,T2W1H2,Grades 7-9,N
Public School,,Elementary,Roland Michener Elementary School,5958 4 AV NE,Calgary,AB,T2A4B1,Grades 1-6,Y
Public School,,"Elementary, Junior High",Rosedale Elementary Jr High,905 13 AV NW,Calgary,AB,T2M0G3,Grades 1-9,Y
Public School,,Elementary,Rosemont Elementary,19 Rosevale DR NW,Calgary,AB,T2K1N6,Grades 1-6,Y
Public School,,Elementary,Rosscarrock Elementary,1406 40 ST SW,Calgary,AB,T3C1W7,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Rundle College Academy,4330 16 ST SW,Calgary,AB,T2T4H9,Grades 1-12,N
Private School,,Elementary,Rundle College Elementary School,2634 12 AV NW,Calgary,AB,T2N1K6,Grades 4-6,Y
Private School,,Junior High,Rundle College Junior High School,7375 17 AV SW,Calgary,AB,T3H3W5,Grades 7-9,N
,,Elementary,Rundle College Primary School,2445 23 AV SW,Calgary,AB,T2T0W3,Grades 1-3,
Private School,,Senior High,Rundle College Senior High School,7375 17 AV SW,Calgary,AB,T3H3W5,Grades 10-12,N
Public School,,Elementary,Rundle Elementary,4120 Rundlehorn DR NE,Calgary,AB,T1Y4W9,Grades 1-6,Y
Separate School,,Elementary,Sacred Heart Elementary,1312 15 ST SW,Calgary,AB,T3C1G2,Grades 1-6,Y
Separate School,French Immersion,"Elementary, Junior High, Senior High",Sainte Marguerite Bourgeoys,4700 Richard RD SW,Calgary,AB,T3E6L1,Grades 1-12,Y
Public School,Bilingual,Elementary,Sam Livingston Elementary,12011 Bonaventure DR SE,Calgary,AB,T2J3G7,Grades 1-6,Y
Public School,,Junior High,Samuel W. Shaw,115 Shannon DR SW,Calgary,AB,T2Y0K6,Grades 5-8,
Public School,,Elementary,Scenic Acres School,50 Scurfield WY NW,Calgary,AB,T3L1T2,Grades 1-3,Y
Public School,,Elementary,Science School at Langevin School,107 6A ST NE,Calgary,AB,T2E 0B7,Grades 1-7,
Public School,,Junior High,Senator P. Burns Jr High,2155 Chilcotin RD NW,Calgary,AB,T2L0X2,Grades 7-9,N
Public School,,Junior High,Sherwood Community,2011 66 AV SE,Calgary,AB,T2C1J4,Grades 5-9,N
Public School,,Elementary,Silver Springs Elementary,7235 Silvermead RD NW,Calgary,AB,T3B3V1,Grades 1-6,Y
Public School,,Junior High,Simon Fraser Jr High,5215 33 ST NW,Calgary,AB,T2L1V3,Grades 7-9,N
Public School,,Elementary,Simons Valley Elementary,375 Sandarac DR NW,Calgary,AB,T3K4B2,Grades 1-6,Y
Public School,,Elementary,Sir James Lougheed Elementary,3519 36 AV SW,Calgary,AB,T3E1C2,Grades 1-6,Y
Public School,,Junior High,Sir John A. Macdonald Jr High,6600 4 ST NW,Calgary,AB,T2K1C2,Grades 7-9,N
Public School,,Junior High,Sir John Franklin Jr High,2215 8 AV NE,Calgary,AB,T2E0T7,Grades 7-9,N
Public School,,Junior High,Sir Wilfrid Laurier Jr High,819 32 ST SE,Calgary,AB,T2A0Y9,Grades 7-9,N
Public School,No Boundary,Senior High,Sir William Van Horne Sr High,2215 Uxbridge DR NW,Calgary,AB,T2N4Y3,Grades 10-12,N
Public School,,Senior High,Sir Winston Churchill Sr High,5220 Northland DR NW,Calgary,AB,T2L2J6,Grades 10-12,N
Public School,,Elementary,Somerset School,150 Somerset MR SW,Calgary,AB,T2Y4S2,Grades 1-4,Y
Post Secondary,,College,Southern Alberta Institute of Technology,1301 16 AV NW,Calgary,AB,T2M0L4,Post Secondary,
Separate School,,"Elementary, Junior High",St. Albert the Great,225 Prestwick AV SE,Calgary,AB,T2Z 3X3,Grades 1-8,
Separate School,,"Elementary, Junior High",St. Alphonsus Elementary & Jr High,928 Radnor AV NE,Calgary,AB,T2E5H5,Grades 1-9,Y
Separate School,,"Elementary, Junior High",St. Ambrose Elementary & Jr High,1500 Arbour Lake RD NW,Calgary,AB,T3G4X9,Grades 1-9,Y
Public School,,Elementary,Sunalta Elementary,536 Sonora AV SW,Calgary,AB,T3C2J9,Grades 1-6,Y
Public School,Bilingual,Elementary,Sundance Elementary,200 Sunmills DR SE,Calgary,AB,T2X2N9,Grades 1-6,Y
Public School,,Elementary,Sunnyside Elementary,211 7 ST NW,Calgary,AB,T2N1S2,Grades 1-6,Y
Private School,,Senior High,Swedish Language School,739 20 AV NW,Calgary,AB,T2M1E2,Grades 10-12,N
Private School,,"Elementary, Junior High",Tanbridge Academy,510 77 AV SE,Calgary,AB,T2H1C3,Grades 1-9,
Public School,,Elementary,Taradale School,170 Taravista DR NE,Calgary,AB,T3J5B1,Grades K-6,
Public School,,Elementary,Terrace Road Elementary,2103 46 ST NW,Calgary,AB,T3B1B3,Grades 1-6,Y
Public School,,Junior High,Terry Fox Jr High,139 Falshire DR NE,Calgary,AB,T3J1P7,Grades 7-9,N
Private School,,Senior High,The Chinese Academy,6620 4 ST NW,Calgary,AB,T2K1C2,Grades 10-12,N
Public School,,Elementary,The Hamptons School,10330 Hamptons BV NW,Calgary,AB,T3A6G2,Grades 1-3,Y
Private School,,Senior High,The Skill Factory - Satellite Site,6331 Bowness RD NW,Calgary,AB,T3B0E4,Grades 10-12,N
Private School,,"Elementary, Junior High, Senior High",The Third Academy,"B4, 2452 Battleford AV SW",Calgary,AB,T3B2E7,Grades 1-12,N
Private School,,"Elementary, Junior High, Senior High",The Timothy Centre for Scholarship,7740 18 ST SE,Calgary,AB,T2C3W5,Grades 1-12,N
Private School,,"Elementary, Junior High, Senior High",Third Academy Calgary South,Box 4 Site 22 RR8,Calgary,AB,T2J2Y9,Grades 1-12,
Public School,,Junior High,Thomas B Riley Jr High,3915 69 ST NW,Calgary,AB,T3B2J9,Grades 7-9,N
Public School,,Elementary,Thorncliffe Elementary,5646 Thornton RD NW,Calgary,AB,T2K3B9,Grades 1-6,Y
Public School,,Junior High,Tom Baines Jr High,250 Edgepark BV NW,Calgary,AB,T3A3S2,Grades 7-9,N
Private School,,"Elementary, Junior High, Senior High",Trinity Christian School,#100 295 Midpark WY SE,Calgary,AB,T2X2A8,Grades 1-12,Y
Public School,,Elementary,Tuscany School,990 Tuscany DR NW,Calgary,AB,T3L2T4,Grades 1-4,
Private School,,"Elementary, Junior High",Tyndale Christian School,18 Hart Estates BV NE,Calgary,AB,T1X0L3,Grades 1-9,
Public School,,Elementary,University Elementary,3035 Utah DR NW,Calgary,AB,T2N3Z9,Grades 1-6,Y
Post Secondary,,University,University of Calgary,2500 University DR NW,Calgary,AB,T2N1N4,Post Secondary,
Public School,,"Elementary, Junior High",Valley Creek School,10951 Hidden Valley DR NW,Calgary,AB,T3A 6J2,Grades 4-9,N
Public School,,Elementary,Valley View Elementary,4105 26 AV SE,Calgary,AB,T2B0C6,Grades 1-6,Y
Public School,Bilingual,Elementary,Varsity Acres Elementary,4255 40 ST NW,Calgary,AB,T3A0H7,Grades 1-6,Y
Public School,,Junior High,Vincent Massey Jr High,939 45 ST SW,Calgary,AB,T3C2B9,Grades 7-9,N
Public School,,Elementary,Vista Heights Elementary,2411 Vermilion ST NE,Calgary,AB,T2E6J3,Grades 1-6,Y
Public School,Miscellaneous,Elementary,W. H. Cushing Workplace,130 7 AV SW,Calgary,AB,T2P0W4,Grades 1-3,Y
Public School,,Elementary,W. O. Mitchell Elementary,511 Silvergrove DR NW,Calgary,AB,T3B4R9,Grades 1-6,Y
Public School,,Junior High,A. E. Cross Jr High,3445 37 ST SW,Calgary,AB,T3E3C2,Grades 7-9,N
Public School,Miscellaneous,"Junior High, Senior High",AADAC Adolescent Program,1005 17 ST NW,Calgary,AB,T2N2E5,Grades 7-12,N
Public School,,Elementary,Abbeydale Elementary,320 Abergale DR NE,Calgary,AB,T2A6W2,Grades 1-6,Y
Public School,,Elementary,Acadia Elementary,9603 5 ST SE,Calgary,AB,T2J1K4,Grades 1-4,Y
Private School,,Senior High,Access International College (Calgary) Inc.,B1 - 2451 Dieppe AV SW,Calgary,AB,T3E 7K1,Grades 10-12,
Private School,,"Elementary, Junior High",Akiva Academy,140 Haddon RD SW,Calgary,AB,T2V2Y3,Grades 1-6,Y
Private School,,Senior High,Alberta Chung Wah School,"#270, 328 Centre ST SE",Calgary,AB,T2G4X8,Grades 10-12,
Post Secondary,,College,Alberta College of Art and Design,1407 14 AV NW,Calgary,AB,T2N4R3,Post Secondary,
Public School,,Elementary,Alex Ferguson Elementary,1704 26 ST SW,Calgary,AB,T3C1K5,Grades 1-6,Y
Public School,,Elementary,Alex Munro Elementary,427 78 AV NE,Calgary,AB,T2K0R9,Grades 1-6,Y
Public School,,"Elementary, Junior High",Alice Jamieson Girls' Academy,950 - 6 ST NE,Calgary,AB,,Grades 4-9,
Public School,,"Elementary, Junior High",Almadina Charter School,411 11 AV SE,Calgary,AB,T2G0Y5,Grades 1-9,Y
Public School,,Elementary,Altadore Elementary,4506 16 ST SW,Calgary,AB,T2T4H9,Grades 1-6,Y
Public School,No Boundary,Senior High,Alternative High School,5003 20 ST SW,Calgary,AB,T2T5A5,Grades 10-12,N
Public School,,Elementary,Andrew Sibbald Elementary,1711 Lake Bonavista DR SE,Calgary,AB,T2J2X9,Grades 1-6,Y
Public School,,Elementary,Annie Foote Elementary,6320 Temple DR NE,Calgary,AB,T1Y5V5,Grades 1-6,Y
Public School,,Junior High,Annie Gale Jr High,577 Whiteridge WY NE,Calgary,AB,T1Y4S8,Grades 7-9,N
Public School,,Junior High,Arbour Lake Jr High,27 Arbour Crest DR NW,Calgary,AB,,Grades 5-9,
Separate School,,"Elementary, Junior High",Ascension of Our Lord Elementary & Jr High,509 Harvest Hills DR NE,Calgary,AB,T3K4G9,Grades 1-9,Y
Private School,,"Elementary, Junior High, Senior High",Aurora Learning Centre,623 35 AV NE,Calgary,AB,T2E2L2,Grades 1-12,
Public School,,Junior High,Balmoral Jr High,220 16 AV NW,Calgary,AB,T2M0H4,Grades 5-9,N
Private School,,"Elementary, Junior High, Senior High",Banbury Crossroads School,201 2451 Dieppe AV SW,Calgary,AB,T3E7K1,Grades 1-12,Y
Public School,French Immersion,Elementary,Banff Trail Elementary,3232 Cochrane RD NW,Calgary,AB,T2M4J3,Grades 1-6,Y
Separate School,,Elementary,St. Andrew Elementary,4331 41 AV SW,Calgary,AB,T3E1G2,Grades 1-6,Y
Separate School,,Elementary,St. Angela Elementary,231 6 ST NE,Calgary,AB,T2E3Y1,Grades 1-6,Y
