TYPE,NAME,ADDRESS,COMM_CODE
Community Centre,Highwood Community Centre,16 Harlow AV NW,HIW
Public School,Highwood Elementary,11 Holmwood AV NW,HIW
Public School,Hillhurst Community,1418 7 AV NW,HIL
Community Centre,Hillhurst/Sunnyside Community Centre,1320 5 AV NW,HIL
Separate School,Holy Angels Elementary,275 Riverglen DR SE,RIV
Separate School,Holy Cross Elementary & Jr High,3719 26 AV SE,DOV
Separate School,Holy Family Elementary,904 32 ST SE,ALB
Separate School,Holy Name Elementary,3011 35 ST SW,KIL
Separate School,Holy Redeemer Elementary,708 47 ST SE,FHT
Separate School,Holy Trinity Elementary,1717 41 ST SE,FLN
Community Centre,Hounsfield Heights/Briar Hill Community Centre,1922 14 AV NW,HOU
Community Centre,Huntington Hills Community Centre,520 78 AV NW,HUN
Public School,Huntington Hills Elementary,820 64 AV NW,HUN
Public School,Ian Bazalgette Jr High,3909 26 AV SE,DOV
Attraction,Inglewood Bird Sanctuary,2425 9 AV SE,ING
Community Centre,Inglewood Community Centre,1740 24 AV SE,ING
Private School,International School of Excellence,3915 34 ST NE,HOR
Private School,Italian School of Calgary,24 Beddington WY NE,BED
Public School,Jack James Sr High,5105 8 AV SE,FLN
Public School,James Fowler Sr High,4004 4 ST NW,HPK
Public School,James Short Memorial Elementary,6333 5 AV SE,PEN
Public School,Janet Johnstone Elementary,224 Shawnessy DR SW,SHN
Private School,Janus Academy,2223 Spiller RD SE,RAM
Public School,Jennie Elliott Elementary,3031 Lindsay DR SW,LKV
Public School,John G. Diefenbaker Sr High,6620 4 ST NW,HUN
Separate School,John Paul II Elementary,119 Castleridge DR NE,CAS
Separate School,John W. Costello Elementary,300 Strathcona DR SW,STR
Public School,John Ware Jr High,10020 19 ST SW,PUM
Separate School,John XXIII Elementary & Jr High,1420 Falconridge DR NE,FAL
Private School,Joshua Christian School,,NAW
Public School,Juno Beach Academy of Canadian Studies,2336 53 AV SW,NGM
Public School,Keeler Elementary,4807 Forego AV SE,FHT
Public School,Killarney Elementary,3008 33 ST SW,KIL
Community Centre,Killarney/Glengarry Community Centre,2828 28 ST SW,KIL
Public School,King George Elementary,2108 10 ST NW,MOP
Community Centre,Kingsland Community Centre,505 78 AV SW,KIN
Community Centre,Lake Bonavista Community Centre,1401 Acadia DR SW,LKB
Community Centre,Lake Bonavista Downs Community Centre,1418 Lake Ontario RD SE,BDO
Public School,Lake Bonavista Elementary,1015 120 AV SE,LKB
Community Centre,Lakeview Community Centre,6110 34 ST SW,LKV
Public School,Langevin Elementary & Jr High,107 6A ST NE,BRD
Private School,Language School-German Canadian Club,2626 23 ST NE,SAW
Public School,Le Roi Daniels Elementary,47 Fyffe RD SE,FAI
Public School,Lester B. Pearson Sr High,3020 52 ST NE,PIN
Public School,Lord Beaverbrook Sr High,9019 Fairmount DR SE,ACA
Public School,Louis Riel Elementary & Jr High,9632 Oakfield DR SW,OAK
Public School,Louise Dean Centre,120 23 ST NW,WHL
Library,Louise Riley Library,1904 14 AV NW,HOU
Private School,Lycee Louis Pasteur,4099 Garrison BV SW,ALT
Separate School,Madeleine D' Houet Jr High,108 22 ST NW,WHL
Public School,Maple Ridge Elementary,10203 Maplemont RD SE,MPL
Private School,Maria Montessori School,510 77 AV SE,FVI
Public School,Marion Carson Elementary,5225 Varsity DR NW,VAR
Public School,Marlborough Elementary,4711 Maryvale DR NE,MRL
Community Centre,Marlborough Park Community Centre,6021 Madigan DR NE,MPK
Private School,Masters Academy,4414 Crowchild TR SW,ALT
Public School,Mayland Heights Elementary,2324 Maunsell DR NE,MAL
Attraction,McDougall Centre (Alberta Government),455 6 ST SW,DNC
Community Centre,McKenzie Lake Community Centre,16198 McKenzie Lake WY SE,MCK
Public School,McKenzie Lake Elementary,16210 McKenzie Lake WY SE,MCK
Public School,McKenzie Towne Elementary,679 Prestwick Ci SE,MCT
Community Centre,Meadowlark Park Community Centre,623 58 AV SW,MEA
Library,Memorial Park Library,1221 2 ST SW,BLN
Private School,Menno Simons Christian School,7000 Elkton DR SW,CAM
Community Centre,Mid-Sun Community Centre,50 Midpark RI SE,MID
Public School,MidSun Jr High,660 Sunmills DR SE,SDC
Public School,Midnapore Elementary,55 Midpark Rise SE,MID
Community Centre,Millican/Ogden/Lynnwood Community Centre,6901 20A ST SE,OGD
Separate School,Monsignor A. J. Hetherington Elementary,4 Coral Springs BV N.E,COR
Separate School,Monsignor E. L. Doyle Elementary,8887 Scurfield DR NW,SCE
Separate School,Monsignor J. J. O'Brien Elementary & Jr High,99 Bridlewood RD SW,BRI
Separate School,Monsignor J.S. Smith Elementary & Jr High,2919 Douglasdale BV SE,DDG
Separate School,Monsignor N. Anderson Elementary,327 Sandarac DR NW,SAN
Post Secondary,University of Calgary,2500 University DR NW,UOC
Public School,Valley Creek School,10951 Hidden Valley DR NW,HID
Public School,Valley View Elementary,4105 26 AV SE,DOV
Public School,Varsity Acres Elementary,4255 40 ST NW,VAR
Community Centre,Varsity Community Centre,4303 Varsity DR NW,VAR
PHS Clinic,Village Square Community Health Centre,2623 - 56 ST NE,PIN
Library,Village Square Library,2623 56 ST NE,PIN
Public School,Vincent Massey Jr High,939 45 ST SW,WGT
Public School,Vista Heights Elementary,2411 Vermilion ST NE,VIS
Public School,W. H. Cushing Workplace,130 7 AV SW,DNC
Public School,W. O. Mitchell Elementary,511 Silvergrove DR NW,SIL
Library,W.R. Castell Central Library,616 MACLEOD TR SE,DNC
Private School,Webber Academy,1515 93 ST SW,ASP
Social Dev Ctr,West Area,2539 33 AV SW,CFC
Public School,West Dalhousie Elementary,6502 58 ST NW,DAL
Public School,West Dover Elementary,3113 30 AV SE,DOV
Community Centre,West Hillhurst Community Centre,1940 6 AV NW,WHL
Private School,West Island College,7410 Blackfoot TR SE,FVI
Public School,West View School,12626 85 ST NW,02E
Public School,Western Canada Sr High,641 17 AV SW,CLI
Community Centre,Westgate Community Centre,4943 8 AV SW,WGT
Public School,Westgate Elementary,150 Westminster DR SW,WGT
Public School,Westmount Charter School,2519 Richmond RD SW,RIC
Community Centre,Whitehorn Community Centre,228 Whitehorn RD NE,WHI
Community Centre,Wildwood Community Centre,4411 Spruce DR SW,WLD
Public School,Wildwood Elementary,120 45 ST SW,WLD
Public School,William Aberhart Sr High,3009 Morley TR NW,BNF
Public School,William Reid Elementary,1216 36 AV SW,EPK
Public School,William Roper Hull Home,2266 Woodpark AV SW,WOO
Community Centre,Willow Park / Mapleridge Community Centre,680 Acadia DR SE,MPL
Public School,Willow Park Elementary,343 Willow Park DR SE,WIL
Public School,Wilma Hansen Jr High,963 Queensland DR SE,QLD
Community Centre,Windsor Park Community Centre,5304 6 ST SW,WND
Community Centre,Winston Heights/Mountview Community Centre,520 27 AV NE,WIN
Public School,Wood's Home - George Woods Learning Centre,9400 48 AV NW,BOW
Public School,Wood's Homes - William Taylor Learning Centre,805 37 ST NW,STA
Public School,Woodbine Elementary,27 Woodfield WY SW,WBN
Community Centre,Woodcreek Community Centre,1991 Woodview DR SW,WOO
Public School,Woodlands Elementary,88 Woodgreen DR SW,WOO
Public School,Woodman Jr High,8706 Elbow DR SW,HAY
Public School,Young Adult Program,1403 29ST NW (Foothills Hospital),STA
Private School,Yufeng Chinese School,27 Citadel Ridge CL NW (School located at Simon Fraser Jr. High),BRE
Public School,A. E. Cross Jr High,3445 37 ST SW,GBK
Public School,AADAC Adolescent Program,1005 17 ST NW,HOU
Attraction,AV Roe Canada Aviation Museum,6802 Ogden RD SE,OGD
Community Centre,Abbeydale Community Centre,821 Abbeydale DR NE,ABB
Public School,Abbeydale Elementary,320 Abergale DR NE,ABB
Community Centre,Acadia Community Centre,240 90 AV SE,ACA
PHS Clinic,Acadia Community Health Centre,151 - 86 AV SE,ACA
Public School,Acadia Elementary,9603 5 ST SE,ACA
Private School,Access International College (Calgary) Inc.,B1 - 2451 Dieppe AV SW,CFC
Attraction,Aero Space Museum of Calgary,4629 McCall WY NE,PEG
Attraction,Agricore Grain Academy Museum,2205 Stampede TR SE,BLN
Private School,Akiva Academy,140 Haddon RD SW,HAY
Community Centre,Albert Park / Radisson Heights Community Centre,1310 28 ST SE,ALB
Hospital,Alberta Children's Hospital,2888 Shaganappi Trail NW,UOC
Private School,Alberta Chung Wah School,"#270, 328 Centre ST SE",CHN
Post Secondary,Alberta College of Art and Design,1407 14 AV NW,HIL
Court,Alberta Court of Appeal,2600 450 1 ST SW,DNC
Court,Alberta Court of Queens Bench,# 604-N 601 5 ST SW,DNC
Court,Alberta Provincial Court (Civil),# 606-S 601 5 ST SW,DNC
Court,Alberta Provincial Court (Criminal),# 402-S 601 5 ST SW,DNC
Court,Alberta Provincial Court (Family),# 704-N 601 5 ST SW,DNC
Court,Alberta Provincial Court (Rural),# 401-S 601 5 ST SW,DNC
Court,Alberta Provincial Court (Traffic),# 203-S 601 5 ST SW,DNC
Court,Alberta Provincial Court (Youth),# 201-N 601 5 ST SW,DNC
Public School,Alex Ferguson Elementary,1704 26 ST SW,SHG
Public School,Alex Munro Elementary,427 78 AV NE,HUN
Library,Alexander Calhoun Library,3223 14 ST SW,SOC
Public School,Alice Jamieson Girls' Academy,950 - 6 ST NE,REN
Public School,Almadina Charter School,411 11 AV SE,BLN
Public School,Altadore Elementary,4506 16 ST SW,ALT
Public School,Alternative High School,5003 20 ST SW,ALT
Public School,Andrew Sibbald Elementary,1711 Lake Bonavista DR SE,LKB
Public School,Annie Foote Elementary,6320 Temple DR NE,TEM
Public School,Annie Gale Jr High,577 Whiteridge WY NE,WHI
Community Centre,Arbour Lake Community Centre,12 Arbour Lake DR NW,ARB
Public School,Arbour Lake Jr High,27 Arbour Crest DR NW,ARB
Attraction,Art Central,100 7 AV SW,DNC
Attraction,Art Gallery of Calgary,117 8 AV SW,DNC
Separate School,Ascension of Our Lord Elementary & Jr High,509 Harvest Hills DR NE,HAR
Private School,Aurora Learning Centre,623 35 AV NE,GRI
Public School,Balmoral Jr High,220 16 AV NW,TUX
Private School,Banbury Crossroads School,201 2451 Dieppe AV SW,CFC
Community Centre,Banff Trail Community Centre,2115 20 AV NW,BNF
Public School,Banff Trail Elementary,3232 Cochrane RD NW,CHW
Community Centre,Bankview Community Centre,2418 17 ST SW,BNK
Public School,Banting And Best Elementary,1819 66 AV SE,OGD
Public School,Battalion Park School,369 Sienna Park DR SW,SIG
Private School,Bearspaw Christian School & College,15001 69 ST NW,02K
Community Centre,Beddington Heights Community Centre,375 Bermuda DR NW,BED
Public School,Beddington Heights Elementary,95 Bermuda RD NW,BED
Public School,Belfast Elementary,1229 17A ST NE,MAL
Community Centre,Beltline Victoria and Connaught Community Centre,1302 6 ST SE,BLN
Public School,Belvedere-Parkway Elementary,4631 85 ST NW,BOW
Private School,Bethel Christian Academy,2220 39 AV NE,NAW
Separate School,Bishop Carroll Sr High,4624 Richard RD SW,CFC
Separate School,Bishop Grandin Sr High,111 Haddon RD SW,HAY
Separate School,Bishop Kidd Jr High,1420 28 ST SE,ALB
Separate School,Bishop McNally Jr & Sr High,5700 Falconridge BV N.E,FAL
Separate School,Bishop O'Byrne Sr High,333 Shawville BV SE,SHN
Public School,Bishop Pinkham Jr High,3304 63 AV SW,LKV
Attraction,Blackfoot Motocycle Park,54 AV & Burbank RD SE,BUR
Separate School,Blessed Damien Elementary,3619 28 ST SE,DOV
Separate School,Blessed K. Tekakwitha Elementary,1005 Abbotsford DR NE,ABB
Public School,Bob Edwards Jr High,4424 Marlborough DR NE,MRL
Post Secondary,Bow Valley College,332 6 AV SE,DNC
Public School,Bowcroft Elementary,3940 73 ST NW,BOW
Social Dev Ctr,Bowmont,5000 Bowness RD NW,MON
Community Centre,Bowness / Greenwood / Greenbriar Community Centre,7904 43 AV NW,BOW
Separate School,St. Jerome,11616 Panorama Hill Bv NW,PAN
Separate School,St. Joan of Arc,7970 Wentworth Dr SW,WSP
Private School,St. John Bosco Private School,712 Fortalice CR SE,FHT
Separate School,St. John Elementary (Fine Arts),15 12 ST NW,HIL
Separate School,St. Joseph Elementary Jr High,2512 5 ST NW,MOP
Separate School,St. Jude Elementary,730 Woodbine BV SW,WBN
Separate School,St. Luke Elementary,1232 Northmount DR NW,BRE
Separate School,St. Margaret Elementary,3320 Carol DR NW,COL
Separate School,St. Maria Goretti Elementary,375 Hawkstone DR NW,HAW
Separate School,St. Mark Elementary,4589 Marbank DR NE,MRL
Separate School,St. Martha Jr High,6020 4 AV NE,MPK
Separate School,St. Mary's,111 18 Av SW,MIS
Separate School,St. Matthew Elementary & Jr High,416 83 AV SE,ACA
Separate School,St. Michael Elementary & Jr High,4511 8 AV SW,RCK
Separate School,St. Monica Elementary & Jr High,235 18 AV SW,MIS
Separate School,St. Patrick Elementary,6006 Rundlehorn DR NE,PIN
Separate School,St. Peter Elementary,720 58 ST SE,PEN
Separate School,St. Philip Elementary,13825 Parkside DR SE,PKL
Separate School,St. Pius Elementary,2312 18 ST NW,CAP
Separate School,St. Rita Elementary,7811 Ranchview DR NW,RAN
Separate School,St. Rose of Lima Jr High,2419 50 ST NE,RUN
Separate School,St. Rupert Elementary,111 Rundlehill DR NE,RUN
Separate School,St. Sebastian,65 Chaparral Dr SE,CHA
Separate School,St. Stephen Elementary & Jr High,10910 Elbow DR SW,SOW
Separate School,St. Sylvester Elementary,7318 Silver Springs BV NW,SIL
Separate School,St. Thomas Aquinas Elementary,4540 26 AV SW,GDL
Attraction,Calgary Soccer Centre,7000 48 ST SE,FHI
Attraction,Calgary Stampeders Football - McMahon Stadiu,1817 Crowchild TR NW,UOC
Attraction,Calgary Tower,101 9 AV SW,DNC
Private School,Calgary Waldorf School,515 Cougar Ridge DR SW,CGR
Attraction,Calgary West Soccer Centre,10014 Bearspaw Dam RD NW,01B
Attraction,"Calgary Zoo, Botanical Gardens & Prehistoric",1300 Zoo RD NE,BRD
Community Centre,Cambrian Heights Community Centre,600 Northmount DR NW,CAM
Public School,Cambrian Heights Elementary,640 Northmount DR NW,CAM
Visitor Info,Canada Olympic Park,88 Canada Olympic RD SW,COP
Attraction,Canada Olympic Park (COP),88 Canada Olympic RD SW,COP
Attraction,Canadian Centre of Sport Excellence,88 Canada Olympic RD SW,COP
Attraction,Canadian Country Music Hall of Fame (Stamped,2205 Stampede TR SE,BLN
Community Centre,Canyon Meadows Community Centre,848 Cantabrian DR SW,CAN
Public School,Canyon Meadows Elementary,395 Canterbury DR SW,CAN
Community Centre,Capitol Hill Community Centre,1531 21 AV NW,CAP
Public School,Capitol Hill Elementary,2210 18 ST NW,CAP
Public School,Cappy Smart Elementary,5808 Madigan DR NE,MPK
Public School,Captain John Palliser Elementary,1484 Northmount DR NW,BRE
Separate School,Cardinal Newman Elementary & Jr High,16201 McKenzie Lake BV SE,MCK
Public School,Catherine Nichols Gunn Elementary,6625 4 ST NE,HUN
Public School,Cecil Swanson Elementary,4820 Rundlewood DR NE,RUN
Community Centre,Cedarbrae Community Centre,11024 Oakfield DR SW,CED
Public School,Cedarbrae Elementary,10631 Oakfield DR SW,CED
Public School,Centennial High,55 Sun Valley BV SE,SDC
Public School,Central Memorial Sr High,5111 21 ST SW,NGM
Community Centre,Chaparral Community,19010 *1/5 CHAPARRAL DR SE,CHA
Public School,Chaparral School,480 Chaparral DR SE,CHA
Public School,Chief Justice Milvain Elementary,3428 42 ST NE,WHI
Public School,Children's Village - Salvation Army,1731 29 ST SW,SHG
Public School,Chinook Park Elementary,1312 75 AV SW,KEL
Community Centre,Chinook Park/Kelvin Grove/Eagle Ridge Community Centre,1015 73 AV SW,KEL
Private School,Chinook Winds Adventist Academy,10101 2 AV SW,01C
Public School,Chris Akkerman Elementary,5004 Marbank DR NE,MRL
Public School,Christine Meikle,64 12 ST NE,BRD
Public School,Citadel Park School,808 Citadel DR NW,CIT
Public School,Clarence Sansom Jr High,5840 24 AV NE,PIN
Private School,Clear Water Academy,2521 Dieppe AV SW,CFC
Community Centre,Cliffe Bungalow/Mission Community Association,2201 Cliff ST SW,CLI
Community Centre,Coach Hill/Patterson/Prominence Heights Community Cent,60 Patterson BV SW,PAT
Public School,Collingwood Elementary,3826 Collingwood DR NW,COL
Public School,Colonel Irvine Jr High,412 Northmount DR NW,HIW
Public School,Colonel J. Fred Scott Elementary,171 Whitehorn RD NE,WHI
Public School,Colonel Macleod Elementary & Jr High,1610 6 ST NE,REN
Public School,Colonel Sanders (TLC),226 Northmount DR NW,THO
Public School,Colonel Walker Elementary,1921 9 AV SE,ING
Private School,Columbia College,802 Manning RD NE,MLI
Public School,Connaught Elementary,1121 12 AV SW,BLN
Separate School,Corpus Christi Elementary,5607 Thornton RD NW,THO
Library,Country Hills Library,11950 Country Village Link NE,CHV
Public School,Coventry Hills School,10 Covepark DR NE,COV
Community Centre,Crescent Heights Community Centre,1101 2 ST NW,CRE
Public School,Crescent Heights Sr High,1019 1 ST NW,CRE
Public School,Crossing Park Elementary,500 Martindale BV NE,MRT
Community Centre,Crossroads Community Centre,1803 14 AV NE,MAL
Attraction,Crossroads Market,1235 26 AV SE,AYB
Library,Crowfoot Library,8665 NOSE HILL DR NW,ARB
Private School,Cultural Centre Chinese Learning Academy,197 - 1 ST SW,CHN
Community Centre,Dalhousie Community Centre,5432 Dalhart RD NW,DAL
Public School,Dalhousie Elementary,4440 Dallyn ST NW,DAL
Public School,David Thompson Middle School,9320 Arbour CR SE,ACA
Attraction,Deane House Historic Site (Fort Calgary),806 9 AV SE,ING
Community Centre,Deer Run Community Centre,2223 146 AV SE,DRN
Public School,Deer Run Elementary,2127 146 AV SE,DRN
Private School,Delta West Academy,414 11A ST NE,BRD
Attraction,Devonian Gardens - TD Square (closed for renovations),317 7 AV SW,DNC
Separate School,Don Bosco Elementary & Jr High,13615 Deer Ridge DR SE,DRG
Public School,Douglas Harkness Elementary,6203 24 AV NE,PIN
Public School,Douglasdale,400 Douglas Park BV SE,DDG
Community Centre,Dover Community Centre,3033 30 AV SE,DOV
Public School,Dr. E. P. Scarlett Sr High,220 Canterbury DR SW,CAN
Public School,Dr. E. W. Coffin Elementary,5615 Barrett DR NW,BRE
Public School,Dr. G. M. Egbert Community,6033 Madigan DR NE,MPK
Public School,Dr. Gordon Higgins Jr High,155 Rundlehill DR NE,RUN
Public School,Dr. Gordon Townsend,2888 Shaganappi TR NW,UOC
Public School,Dr. J. K. Mulloy Elementary,7440 10 ST NW,HUN
Public School,Dr. Oakley,3904 20 ST SW,ALT
Public School,Earl Grey Elementary,845 Hillcrest AV SW,UMR
Social Dev Ctr,East Area,1011 52 ST SE,FLN
Private School,Eastside Christian Academy,1320 Abbeydale DR SE,ABB
Attraction,Eau Claire Festival Market,200 Barclay PR SW,EAU
Public School,Ecole La Mosaique,199 Martindale BV NE,MRT
Public School,Ecole La Rose Sauvage,2512 4 ST NW,MOP
Public School,Ecole Terre des Jeunes,3720 42 ST NW,VAR
Public School,Ecole de La Source,360 94 AV SE,ACA
Private School,Edelweiss Preparatory School,600 Northmount DR NW,CAM
Community Centre,Edgemont Community Centre,33 Edgevalley CI NW,EDG
Public School,Edgemont Elementary,55 Edgevalley CI NW,EDG
Community Centre,Elbow Park Community Centre,800 34 AV SW,EPK
Public School,Elbow Park Elementary,721 38 AV SW,EPK
Public School,Elboya Elementary & Jr High,4804 6 ST SW,EYA
Community Centre,Elboya Heights Community Centre,416 Park AV SW,EYA
Public School,Emily Follensbee School,5139 14 ST SW,GPK
Attraction,Energeum (Alberta Energy Utilities Board),640 5 AV SW,DNC
Attraction,Epcor Centre for the Performing Arts,205 8 AV SE,DNC
Private School,Equilibrium International Education Institute,707 14 ST NW,HIL
Community Centre,Erin Woods Community Centre,83 Erin Park DR SE,ERI
Public School,Erin Woods Elementary,25 Erin Park DR SE,ERI
Public School,Ernest Manning Sr High,3600 16 AV SW,RCK
Public School,Ernest Morrow Jr High,1212 47 ST SE,FLN
Public School,Ethel M. Johnson Elementary,255 Sackville DR SW,SOW
Public School,Eugene Coste Elementary,10 Hillgrove CR SW,HAY
Public School,F. E. Osborne Jr High,5315 Varsity DR NW,VAR
Public School,FFCA - Alice M. Curtis Campus,9711 Academy DR SE,ACA
Public School,FFCA - Andrew Davison Campus,8710 Ancourt RD SE ,ACA
Public School,FFCA - High School,315 86 AV,ACA
Public School,FFCA - Renfrew Campus,1210 Russet RD NE,REN
Library,Bowness Library,7930 BOWNESS RD NW,BOW
Public School,Bowness Sr High,4627 77 ST NW,BOW
Community Centre,Braeside Community Centre,11024 Braeside DR SW,BRA
Public School,Braeside Elementary,1747 107 AV SW,BRA
Public School,Branton Jr High,2103 20 ST NW,BNF
Community Centre,Brentwood Community Centre,5107 33 ST NW,BRE
Public School,Brentwood Elementary,1231 Northmount DR NW,BRE
Attraction,Brewster Bus Tours,808 Centre ST SE,DNC
Public School,Briar Hill Elementary,1233 21 ST NW,HOU
Community Centre,Bridgeland / Riverside Community Centre,917 Centre Av NE,BRD
Social Dev Ctr,Bridgeland Place,736 McDougall CO NE,BRD
Public School,Buchanan Elementary,3717 Centre ST N,HPK
Attraction,Butterfield Acres Children's Farm,Rocky Ridge RD & 120 AV NW,02A
Attraction,Calaway Park,Springbank RD & Trans Canada HWY,VAL
Private School,Calgary Academy Collegiate,9400 17 AV SW,ASP
Public School,Calgary Arts Academy,4931 Grove Hill RD SW,GDL
Private School,Calgary Catholic School Centre,1000 5 AVE SW,DNW
Visitor Info,Calgary Chamber of Commerce,517 Centre St SW,DNC
Attraction,Calgary Chamber of Commerce,517 Centre ST SW,DNC
Private School,Calgary Chinese Alliance School,150 Beddington BV NE,BED
Attraction,Calgary Chinese Cultural Centre,197 1 ST SW,CHN
Private School,Calgary Chinese Private School,599 Northmount DR NW,CAM
Private School,Calgary Chinese School,"#110, 138 18 AV SE",MIS
Private School,Calgary Christian High School,5029 26 AV SW,GBK
Private School,Calgary Christian School,2839 49 ST SW,GBK
Visitor Info,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC
Attraction,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC
Attraction,Calgary Dawgs Baseball - Burns Stadium,2255 Crowchild TR NW,UOC
Attraction,Calgary Exhibition & Stampede Park,1410 Olympic WY SE,BLN
Attraction,Calgary Fire Fighters Museum,4124 11 ST SE,HIF
Attraction,Calgary Flames Hockey - Pengrowth Saddledome,555 Saddledome RI SE,BLN
Private School,Calgary French & International School,700 77 ST SW,CGR
Public School,Calgary Girls' School,6304 Larkspur WY SW,NGM
Attraction,Calgary Gymnastics Centre (COP),179 Canada Olympic RD SW,COP
Attraction,Calgary Highlanders Museum & Archives,4520 Crowchild TR SW,ALT
Attraction,Calgary Hitmen Hockey - Pengrowth Saddledome,555 Saddledome RI SE,BLN
Private School,Calgary Islamic Private School,2612 37 AV NE,HOR
Private School,Calgary Jewish Academy,6700 Kootenay ST SW,KEL
Community Centre,Calgary Marlborough Community Centre,636 Marlborough WY NE,MRL
Attraction,Calgary Outdoor Resource Centre,1111 Memorial DR NW,HIL
Attraction,Calgary Police Service Interpretive Centre,316 7 AV SE,DNC
Private School,Calgary Quest School,3405 Spruce DR SW,SPR
Attraction,Calgary Science Centre,701 11 ST SW,DNW
Public School,Calgary Science School,5915 Lewis DR SW,LKV
Public School,Riverbend Elementary,65 Rivervalley DR SE,RIV
Public School,Robert Warren Jr High,12424 Elbow DR SW,CAN
Attraction,Rocky Mountaineer Rail Tours,143 131 9 AV SW,DNC
Hospital,Rockyview General Hospital,7007 - 14 ST SW,EAG
Public School,Roland Michener Elementary School,5958 4 AV NE,MPK
Community Centre,Rosedale Community Centre,901 11 AV NW,RDL
Public School,Rosedale Elementary Jr High,905 13 AV NW,RDL
Community Centre,Rosemont Community Centre,2807 10 ST NW,CAP
Public School,Rosemont Elementary,19 Rosevale DR NW,RMT
Community Centre,Rosscarrock Community Centre,4411 10 AV SW,RCK
Public School,Rosscarrock Elementary,1406 40 ST SW,RCK
Private School,Rundle College Academy,4330 16 ST SW,ALT
Private School,Rundle College Elementary School,2634 12 AV NW,STA
Private School,Rundle College Junior High School,7375 17 AV SW,SPH
Private School,Rundle College Senior High School,7375 17 AV SW,SPH
Community Centre,Rundle Community Centre,2409 50 ST NE,RUN
Public School,Rundle Elementary,4120 Rundlehorn DR NE,RUN
Private School,Russian Language and Literature Education,7027 Huntercrest RD NW,HUN
Community Centre,Rutland Park Community Centre,3130 40 AV SW,RUT
